Percentage served,Time in ms
0,2.118
1,2.138
2,2.143
3,2.146
4,2.149
5,2.152
6,2.154
7,2.157
8,2.159
9,2.161
10,2.164
11,2.166
12,2.168
13,2.170
14,2.172
15,2.174
16,2.176
17,2.178
18,2.180
19,2.181
20,2.183
21,2.184
22,2.186
23,2.187
24,2.188
25,2.189
26,2.191
27,2.192
28,2.193
29,2.194
30,2.195
31,2.196
32,2.197
33,2.198
34,2.199
35,2.200
36,2.201
37,2.202
38,2.202
39,2.203
40,2.204
41,2.205
42,2.206
43,2.207
44,2.207
45,2.208
46,2.209
47,2.210
48,2.210
49,2.211
50,2.212
51,2.213
52,2.214
53,2.215
54,2.216
55,2.217
56,2.218
57,2.218
58,2.219
59,2.220
60,2.221
61,2.222
62,2.223
63,2.224
64,2.225
65,2.226
66,2.227
67,2.228
68,2.229
69,2.230
70,2.231
71,2.233
72,2.234
73,2.235
74,2.236
75,2.237
76,2.238
77,2.239
78,2.240
79,2.241
80,2.242
81,2.243
82,2.245
83,2.246
84,2.247
85,2.248
86,2.250
87,2.252
88,2.253
89,2.255
90,2.257
91,2.260
92,2.263
93,2.267
94,2.271
95,2.276
96,2.285
97,2.306
98,3.531
99,34.438
100,40.191
