Percentage served,Time in ms
0,1.652
1,1.677
2,1.682
3,1.686
4,1.689
5,1.691
6,1.693
7,1.695
8,1.696
9,1.698
10,1.699
11,1.700
12,1.702
13,1.703
14,1.704
15,1.705
16,1.706
17,1.707
18,1.708
19,1.709
20,1.710
21,1.711
22,1.712
23,1.713
24,1.714
25,1.715
26,1.715
27,1.716
28,1.717
29,1.718
30,1.719
31,1.720
32,1.720
33,1.721
34,1.722
35,1.723
36,1.724
37,1.725
38,1.726
39,1.726
40,1.727
41,1.728
42,1.729
43,1.730
44,1.731
45,1.731
46,1.732
47,1.733
48,1.734
49,1.735
50,1.736
51,1.737
52,1.738
53,1.739
54,1.740
55,1.740
56,1.741
57,1.742
58,1.743
59,1.744
60,1.745
61,1.746
62,1.747
63,1.748
64,1.749
65,1.750
66,1.751
67,1.753
68,1.754
69,1.755
70,1.756
71,1.758
72,1.759
73,1.760
74,1.761
75,1.763
76,1.765
77,1.766
78,1.768
79,1.770
80,1.771
81,1.773
82,1.775
83,1.776
84,1.778
85,1.781
86,1.783
87,1.786
88,1.789
89,1.793
90,1.797
91,1.801
92,1.806
93,1.813
94,1.820
95,1.830
96,1.843
97,1.858
98,1.893
99,2.526
100,5.155
