Percentage served,Time in ms
0,0.511
1,0.515
2,0.516
3,0.517
4,0.517
5,0.518
6,0.518
7,0.518
8,0.519
9,0.519
10,0.519
11,0.519
12,0.519
13,0.520
14,0.520
15,0.520
16,0.520
17,0.520
18,0.520
19,0.521
20,0.521
21,0.521
22,0.521
23,0.521
24,0.521
25,0.521
26,0.522
27,0.522
28,0.522
29,0.522
30,0.522
31,0.522
32,0.522
33,0.523
34,0.523
35,0.523
36,0.523
37,0.523
38,0.523
39,0.523
40,0.524
41,0.524
42,0.524
43,0.524
44,0.524
45,0.524
46,0.525
47,0.525
48,0.525
49,0.525
50,0.526
51,0.526
52,0.526
53,0.526
54,0.527
55,0.527
56,0.527
57,0.528
58,0.528
59,0.529
60,0.529
61,0.530
62,0.531
63,0.532
64,0.533
65,0.534
66,0.535
67,0.536
68,0.537
69,0.539
70,0.540
71,0.541
72,0.543
73,0.544
74,0.545
75,0.546
76,0.547
77,0.548
78,0.549
79,0.551
80,0.552
81,0.553
82,0.554
83,0.554
84,0.555
85,0.556
86,0.556
87,0.557
88,0.558
89,0.559
90,0.560
91,0.562
92,0.565
93,0.571
94,0.575
95,0.579
96,0.584
97,0.610
98,0.700
99,1.564
100,1.996
