Percentage served,Time in ms
0,1.590
1,1.619
2,1.624
3,1.628
4,1.630
5,1.632
6,1.634
7,1.636
8,1.638
9,1.639
10,1.641
11,1.642
12,1.644
13,1.645
14,1.646
15,1.647
16,1.648
17,1.649
18,1.650
19,1.651
20,1.652
21,1.653
22,1.654
23,1.655
24,1.655
25,1.656
26,1.657
27,1.658
28,1.659
29,1.660
30,1.661
31,1.662
32,1.662
33,1.663
34,1.664
35,1.665
36,1.666
37,1.666
38,1.667
39,1.668
40,1.669
41,1.670
42,1.670
43,1.671
44,1.672
45,1.673
46,1.674
47,1.675
48,1.675
49,1.676
50,1.677
51,1.678
52,1.678
53,1.679
54,1.680
55,1.681
56,1.682
57,1.683
58,1.684
59,1.685
60,1.686
61,1.687
62,1.687
63,1.688
64,1.689
65,1.690
66,1.691
67,1.692
68,1.693
69,1.694
70,1.696
71,1.697
72,1.698
73,1.699
74,1.700
75,1.702
76,1.703
77,1.704
78,1.706
79,1.707
80,1.708
81,1.710
82,1.712
83,1.714
84,1.715
85,1.717
86,1.719
87,1.722
88,1.724
89,1.727
90,1.730
91,1.734
92,1.739
93,1.744
94,1.750
95,1.760
96,1.773
97,1.792
98,1.840
99,2.496
100,74.216
