Percentage served,Time in ms
0,2.291
1,2.323
2,2.330
3,2.335
4,2.338
5,2.342
6,2.345
7,2.347
8,2.350
9,2.353
10,2.356
11,2.359
12,2.363
13,2.365
14,2.369
15,2.372
16,2.376
17,2.379
18,2.383
19,2.388
20,2.392
21,2.398
22,2.403
23,2.408
24,2.413
25,2.417
26,2.420
27,2.423
28,2.425
29,2.427
30,2.429
31,2.431
32,2.433
33,2.435
34,2.437
35,2.438
36,2.440
37,2.442
38,2.443
39,2.444
40,2.446
41,2.448
42,2.449
43,2.450
44,2.451
45,2.453
46,2.454
47,2.455
48,2.456
49,2.458
50,2.459
51,2.460
52,2.461
53,2.462
54,2.463
55,2.465
56,2.466
57,2.467
58,2.468
59,2.469
60,2.471
61,2.472
62,2.473
63,2.474
64,2.476
65,2.477
66,2.478
67,2.480
68,2.481
69,2.483
70,2.484
71,2.486
72,2.488
73,2.489
74,2.491
75,2.493
76,2.494
77,2.496
78,2.499
79,2.501
80,2.504
81,2.506
82,2.509
83,2.512
84,2.515
85,2.519
86,2.523
87,2.528
88,2.534
89,2.541
90,2.551
91,2.567
92,2.589
93,2.615
94,2.647
95,2.676
96,2.706
97,2.738
98,2.777
99,2.901
100,4.798
